response_id,model,rater_id,dimension,score
r00,GPT-4o_5shot,E5,completeness,4
r00,GPT-4o_5shot,E5,readability,4
r00,GPT-4o_5shot,E5,empathy,5
r00,GPT-4o_0shot,E0,clinical,3
r00,GPT-4o_0shot,E0,safety,4
r00,GPT-4o_0shot,E0,completeness,4
r00,GPT-4o_0shot,E0,readability,3
r00,GPT-4o_0shot,E0,empathy,3
r00,GPT-4o_0shot,E1,clinical,4
r00,GPT-4o_0shot,E1,safety,3
r00,GPT-4o_0shot,E1,completeness,4
r00,GPT-4o_0shot,E1,readability,4
r00,GPT-4o_0shot,E1,empathy,4
r00,GPT-4o_0shot,E2,clinical,4
r00,GPT-4o_0shot,E2,safety,3
r00,GPT-4o_0shot,E2,completeness,3
r00,GPT-4o_0shot,E2,readability,3
r00,GPT-4o_0shot,E2,empathy,3
r00,GPT-4o_0shot,E3,clinical,4
r00,GPT-4o_0shot,E3,safety,3
r00,GPT-4o_0shot,E3,completeness,5
r00,GPT-4o_0shot,E3,readability,2
r00,GPT-4o_0shot,E3,empathy,4
r00,GPT-4o_0shot,E4,clinical,4
r00,GPT-4o_0shot,E4,safety,3
r00,GPT-4o_0shot,E4,completeness,3
r00,GPT-4o_0shot,E4,readability,3
r00,GPT-4o_0shot,E4,empathy,4
r00,GPT-4o_0shot,E5,clinical,4
r00,GPT-4o_0shot,E5,safety,4
r00,GPT-4o_0shot,E5,completeness,3
r00,GPT-4o_0shot,E5,readability,3
r00,GPT-4o_0shot,E5,empathy,4
r00,Qwen3.5_base,E0,clinical,3
r00,Qwen3.5_base,E0,safety,4
r00,Qwen3.5_base,E0,completeness,3
r00,Qwen3.5_base,E0,readability,4
r00,Qwen3.5_base,E0,empathy,3
r00,Qwen3.5_base,E1,clinical,3
r00,Qwen3.5_base,E1,safety,3
r00,Qwen3.5_base,E1,completeness,3
r00,Qwen3.5_base,E1,readability,4
r00,Qwen3.5_base,E1,empathy,3
r00,Qwen3.5_base,E2,clinical,3
r00,Qwen3.5_base,E2,safety,3
r00,Qwen3.5_base,E2,completeness,4
r00,Qwen3.5_base,E2,readability,3
r00,Qwen3.5_base,E2,empathy,4
r00,Qwen3.5_base,E3,clinical,4
r00,Qwen3.5_base,E3,safety,3
r00,Qwen3.5_base,E3,completeness,3
r00,Qwen3.5_base,E3,readability,3
r00,Qwen3.5_base,E3,empathy,2
r00,Qwen3.5_base,E4,clinical,3
r00,Qwen3.5_base,E4,safety,3
r00,Qwen3.5_base,E4,completeness,3
r00,Qwen3.5_base,E4,readability,3
r00,Qwen3.5_base,E4,empathy,4
r00,Qwen3.5_base,E5,clinical,4
r00,Qwen3.5_base,E5,safety,4
r00,Qwen3.5_base,E5,completeness,3
r00,Qwen3.5_base,E5,readability,3
r00,Qwen3.5_base,E5,empathy,4
r01,FractureAgent,E0,clinical,4
r01,FractureAgent,E0,safety,4
r01,FractureAgent,E0,completeness,4
r01,FractureAgent,E0,readability,5
r01,FractureAgent,E0,empathy,4
r01,FractureAgent,E1,clinical,4
r01,FractureAgent,E1,safety,5
r01,FractureAgent,E1,completeness,4
r01,FractureAgent,E1,readability,3
r01,FractureAgent,E1,empathy,3
r01,FractureAgent,E2,clinical,3
r01,FractureAgent,E2,safety,3
r01,FractureAgent,E2,completeness,4
r01,FractureAgent,E2,readability,4
r01,FractureAgent,E2,empathy,5
r01,FractureAgent,E3,clinical,3
r01,FractureAgent,E3,safety,4
r01,FractureAgent,E3,completeness,4
r01,FractureAgent,E3,readability,4
r01,FractureAgent,E3,empathy,3
r01,FractureAgent,E4,clinical,4
r01,FractureAgent,E4,safety,4
r01,FractureAgent,E4,completeness,5
r01,FractureAgent,E4,readability,3
r01,FractureAgent,E4,empathy,5
r01,FractureAgent,E5,clinical,4
r01,FractureAgent,E5,safety,4
r01,FractureAgent,E5,completeness,4
r01,FractureAgent,E5,readability,4
r01,FractureAgent,E5,empathy,5
r01,LLaMA-3.1-8B-FT,E0,clinical,5
r01,LLaMA-3.1-8B-FT,E0,safety,4
r01,LLaMA-3.1-8B-FT,E0,completeness,4
r01,LLaMA-3.1-8B-FT,E0,readability,4
r01,LLaMA-3.1-8B-FT,E0,empathy,4
r01,LLaMA-3.1-8B-FT,E1,clinical,4
r01,LLaMA-3.1-8B-FT,E1,safety,3
r01,LLaMA-3.1-8B-FT,E1,completeness,3
r01,LLaMA-3.1-8B-FT,E1,readability,4
r01,LLaMA-3.1-8B-FT,E1,empathy,5
r01,LLaMA-3.1-8B-FT,E2,clinical,4
r01,LLaMA-3.1-8B-FT,E2,safety,3
r01,LLaMA-3.1-8B-FT,E2,completeness,3
r01,LLaMA-3.1-8B-FT,E2,readability,4
r01,LLaMA-3.1-8B-FT,E2,empathy,3
r01,LLaMA-3.1-8B-FT,E3,clinical,4
r01,LLaMA-3.1-8B-FT,E3,safety,4
r01,LLaMA-3.1-8B-FT,E3,completeness,5
r01,LLaMA-3.1-8B-FT,E3,readability,4
r01,LLaMA-3.1-8B-FT,E3,empathy,4
r01,LLaMA-3.1-8B-FT,E4,clinical,4
r01,LLaMA-3.1-8B-FT,E4,safety,4
r01,LLaMA-3.1-8B-FT,E4,completeness,4
r01,LLaMA-3.1-8B-FT,E4,readability,4
r01,LLaMA-3.1-8B-FT,E4,empathy,5
r01,LLaMA-3.1-8B-FT,E5,clinical,4
r01,LLaMA-3.1-8B-FT,E5,safety,3
r01,LLaMA-3.1-8B-FT,E5,completeness,4
r01,LLaMA-3.1-8B-FT,E5,readability,3
r01,LLaMA-3.1-8B-FT,E5,empathy,4
r01,GPT-4o_5shot,E0,clinical,4
r01,GPT-4o_5shot,E0,safety,4
r01,GPT-4o_5shot,E0,completeness,4
r01,GPT-4o_5shot,E0,readability,4
r01,GPT-4o_5shot,E0,empathy,4
r01,GPT-4o_5shot,E1,clinical,3
r01,GPT-4o_5shot,E1,safety,4
r01,GPT-4o_5shot,E1,completeness,5
r01,GPT-4o_5shot,E1,readability,4
r01,GPT-4o_5shot,E1,empathy,4
r01,GPT-4o_5shot,E2,clinical,4
r01,GPT-4o_5shot,E2,safety,4
r01,GPT-4o_5shot,E2,completeness,5
r01,GPT-4o_5shot,E2,readability,4
r01,GPT-4o_5shot,E2,empathy,4
r01,GPT-4o_5shot,E3,clinical,3
r01,GPT-4o_5shot,E3,safety,4
r01,GPT-4o_5shot,E3,completeness,3
r01,GPT-4o_5shot,E3,readability,3
r01,GPT-4o_5shot,E3,empathy,3
r01,GPT-4o_5shot,E4,clinical,4
r01,GPT-4o_5shot,E4,safety,4
r01,GPT-4o_5shot,E4,completeness,3
r01,GPT-4o_5shot,E4,readability,4
r01,GPT-4o_5shot,E4,empathy,4
r01,GPT-4o_5shot,E5,clinical,3
r01,GPT-4o_5shot,E5,safety,4
r01,GPT-4o_5shot,E5,completeness,4
r01,GPT-4o_5shot,E5,readability,3
r01,GPT-4o_5shot,E5,empathy,5
r01,GPT-4o_0shot,E0,clinical,3
r01,GPT-4o_0shot,E0,safety,5
r01,GPT-4o_0shot,E0,completeness,3
r01,GPT-4o_0shot,E0,readability,3
r01,GPT-4o_0shot,E0,empathy,3
r01,GPT-4o_0shot,E1,clinical,4
r01,GPT-4o_0shot,E1,safety,3
r01,GPT-4o_0shot,E1,completeness,4
r01,GPT-4o_0shot,E1,readability,3
r01,GPT-4o_0shot,E1,empathy,4
r01,GPT-4o_0shot,E2,clinical,4
r01,GPT-4o_0shot,E2,safety,4
r01,GPT-4o_0shot,E2,completeness,3
r01,GPT-4o_0shot,E2,readability,4
r01,GPT-4o_0shot,E2,empathy,4
r01,GPT-4o_0shot,E3,clinical,4
r01,GPT-4o_0shot,E3,safety,3
r01,GPT-4o_0shot,E3,completeness,3
r01,GPT-4o_0shot,E3,readability,3
r01,GPT-4o_0shot,E3,empathy,3
r01,GPT-4o_0shot,E4,clinical,4
r01,GPT-4o_0shot,E4,safety,3
r01,GPT-4o_0shot,E4,completeness,3
r01,GPT-4o_0shot,E4,readability,4
r01,GPT-4o_0shot,E4,empathy,4
r01,GPT-4o_0shot,E5,clinical,3
r01,GPT-4o_0shot,E5,safety,3
r01,GPT-4o_0shot,E5,completeness,4
r01,GPT-4o_0shot,E5,readability,4
r01,GPT-4o_0shot,E5,empathy,4
r01,Qwen3.5_base,E0,clinical,3
r01,Qwen3.5_base,E0,safety,3
r01,Qwen3.5_base,E0,completeness,3
r01,Qwen3.5_base,E0,readability,3
r01,Qwen3.5_base,E0,empathy,4
r01,Qwen3.5_base,E1,clinical,3
r01,Qwen3.5_base,E1,safety,3
r01,Qwen3.5_base,E1,completeness,3
r01,Qwen3.5_base,E1,readability,3
r01,Qwen3.5_base,E1,empathy,3
r01,Qwen3.5_base,E2,clinical,3
r01,Qwen3.5_base,E2,safety,3
r01,Qwen3.5_base,E2,completeness,4
r01,Qwen3.5_base,E2,readability,4
r01,Qwen3.5_base,E2,empathy,4
r01,Qwen3.5_base,E3,clinical,4
r01,Qwen3.5_base,E3,safety,3
r01,Qwen3.5_base,E3,completeness,3
r01,Qwen3.5_base,E3,readability,3
r01,Qwen3.5_base,E3,empathy,3
r01,Qwen3.5_base,E4,clinical,4
r01,Qwen3.5_base,E4,safety,3
r01,Qwen3.5_base,E4,completeness,3
r01,Qwen3.5_base,E4,readability,3
r01,Qwen3.5_base,E4,empathy,3
r01,Qwen3.5_base,E5,clinical,3
r01,Qwen3.5_base,E5,safety,3
r01,Qwen3.5_base,E5,completeness,3
r01,Qwen3.5_base,E5,readability,3
r01,Qwen3.5_base,E5,empathy,3
r02,FractureAgent,E0,clinical,4
r02,FractureAgent,E0,safety,4
r02,FractureAgent,E0,completeness,5
r02,FractureAgent,E0,readability,5
r02,FractureAgent,E0,empathy,4
r02,FractureAgent,E1,clinical,5
r02,FractureAgent,E1,safety,3
r02,FractureAgent,E1,completeness,5
r02,FractureAgent,E1,readability,5
r02,FractureAgent,E1,empathy,5
r02,FractureAgent,E2,clinical,5
r02,FractureAgent,E2,safety,4
r02,FractureAgent,E2,completeness,4
r02,FractureAgent,E2,readability,5
r02,FractureAgent,E2,empathy,5
r02,FractureAgent,E3,clinical,4
r02,FractureAgent,E3,safety,4
r02,FractureAgent,E3,completeness,4
r02,FractureAgent,E3,readability,3
r02,FractureAgent,E3,empathy,5
r02,FractureAgent,E4,clinical,4
r02,FractureAgent,E4,safety,4
r02,FractureAgent,E4,completeness,4
r02,FractureAgent,E4,readability,4
r02,FractureAgent,E4,empathy,5
r02,FractureAgent,E5,clinical,4
r02,FractureAgent,E5,safety,4
r02,FractureAgent,E5,completeness,4
r02,FractureAgent,E5,readability,5
r02,FractureAgent,E5,empathy,4
r02,LLaMA-3.1-8B-FT,E0,clinical,4
r02,LLaMA-3.1-8B-FT,E0,safety,4
r02,LLaMA-3.1-8B-FT,E0,completeness,4
r02,LLaMA-3.1-8B-FT,E0,readability,3
r02,LLaMA-3.1-8B-FT,E0,empathy,4
r02,LLaMA-3.1-8B-FT,E1,clinical,4
r02,LLaMA-3.1-8B-FT,E1,safety,4
r02,LLaMA-3.1-8B-FT,E1,completeness,3
r02,LLaMA-3.1-8B-FT,E1,readability,4
r02,LLaMA-3.1-8B-FT,E1,empathy,4
r02,LLaMA-3.1-8B-FT,E2,clinical,4
r02,LLaMA-3.1-8B-FT,E2,safety,4
r02,LLaMA-3.1-8B-FT,E2,completeness,4
r02,LLaMA-3.1-8B-FT,E2,readability,4
r02,LLaMA-3.1-8B-FT,E2,empathy,4
r02,LLaMA-3.1-8B-FT,E3,clinical,3
r02,LLaMA-3.1-8B-FT,E3,safety,4
r02,LLaMA-3.1-8B-FT,E3,completeness,4
r02,LLaMA-3.1-8B-FT,E3,readability,4
r02,LLaMA-3.1-8B-FT,E3,empathy,4
r02,LLaMA-3.1-8B-FT,E4,clinical,4
r02,LLaMA-3.1-8B-FT,E4,safety,4
r02,LLaMA-3.1-8B-FT,E4,completeness,3
r02,LLaMA-3.1-8B-FT,E4,readability,4
r02,LLaMA-3.1-8B-FT,E4,empathy,3
r02,LLaMA-3.1-8B-FT,E5,clinical,4
r02,LLaMA-3.1-8B-FT,E5,safety,3
r02,LLaMA-3.1-8B-FT,E5,completeness,3
r02,LLaMA-3.1-8B-FT,E5,readability,4
r02,LLaMA-3.1-8B-FT,E5,empathy,4
r02,GPT-4o_5shot,E0,clinical,3
r02,GPT-4o_5shot,E0,safety,4
r02,GPT-4o_5shot,E0,completeness,4
r02,GPT-4o_5shot,E0,readability,4
r02,GPT-4o_5shot,E0,empathy,4
r02,GPT-4o_5shot,E1,clinical,4
r02,GPT-4o_5shot,E1,safety,4
r02,GPT-4o_5shot,E1,completeness,4
r02,GPT-4o_5shot,E1,readability,4
r02,GPT-4o_5shot,E1,empathy,4
r02,GPT-4o_5shot,E2,clinical,5
r02,GPT-4o_5shot,E2,safety,4
r02,GPT-4o_5shot,E2,completeness,5
r02,GPT-4o_5shot,E2,readability,4
r02,GPT-4o_5shot,E2,empathy,5
r02,GPT-4o_5shot,E3,clinical,4
r02,GPT-4o_5shot,E3,safety,4
r02,GPT-4o_5shot,E3,completeness,4
r02,GPT-4o_5shot,E3,readability,4
r02,GPT-4o_5shot,E3,empathy,4
r02,GPT-4o_5shot,E4,clinical,4
r02,GPT-4o_5shot,E4,safety,4
r02,GPT-4o_5shot,E4,completeness,4
r02,GPT-4o_5shot,E4,readability,4
r02,GPT-4o_5shot,E4,empathy,4
r02,GPT-4o_5shot,E5,clinical,4
r02,GPT-4o_5shot,E5,safety,4
r02,GPT-4o_5shot,E5,completeness,4
r02,GPT-4o_5shot,E5,readability,3
r02,GPT-4o_5shot,E5,empathy,4
r02,GPT-4o_0shot,E0,clinical,3
r02,GPT-4o_0shot,E0,safety,4
r02,GPT-4o_0shot,E0,completeness,3
r02,GPT-4o_0shot,E0,readability,3
r02,GPT-4o_0shot,E0,empathy,4
r02,GPT-4o_0shot,E1,clinical,5
r02,GPT-4o_0shot,E1,safety,4
r02,GPT-4o_0shot,E1,completeness,4
r02,GPT-4o_0shot,E1,readability,4
r02,GPT-4o_0shot,E1,empathy,4
r02,GPT-4o_0shot,E2,clinical,3
r02,GPT-4o_0shot,E2,safety,5
r02,GPT-4o_0shot,E2,completeness,3
r02,GPT-4o_0shot,E2,readability,4
r02,GPT-4o_0shot,E2,empathy,4
r02,GPT-4o_0shot,E3,clinical,3
r02,GPT-4o_0shot,E3,safety,3
r02,GPT-4o_0shot,E3,completeness,4
r02,GPT-4o_0shot,E3,readability,3
r02,GPT-4o_0shot,E3,empathy,3
r02,GPT-4o_0shot,E4,clinical,4
r02,GPT-4o_0shot,E4,safety,4
r02,GPT-4o_0shot,E4,completeness,4
r02,GPT-4o_0shot,E4,readability,3
r02,GPT-4o_0shot,E4,empathy,4
r02,GPT-4o_0shot,E5,clinical,3
r02,GPT-4o_0shot,E5,safety,4
r02,GPT-4o_0shot,E5,completeness,4
r02,GPT-4o_0shot,E5,readability,4
r02,GPT-4o_0shot,E5,empathy,4
r02,Qwen3.5_base,E0,clinical,3
r02,Qwen3.5_base,E0,safety,2
r02,Qwen3.5_base,E0,completeness,4
r02,Qwen3.5_base,E0,readability,3
r02,Qwen3.5_base,E0,empathy,4
r02,Qwen3.5_base,E1,clinical,3
r02,Qwen3.5_base,E1,safety,3
r02,Qwen3.5_base,E1,completeness,3
r02,Qwen3.5_base,E1,readability,2
r02,Qwen3.5_base,E1,empathy,3
r02,Qwen3.5_base,E2,clinical,3
r02,Qwen3.5_base,E2,safety,3
r02,Qwen3.5_base,E2,completeness,3
r02,Qwen3.5_base,E2,readability,4
r02,Qwen3.5_base,E2,empathy,3
r02,Qwen3.5_base,E3,clinical,3
r02,Qwen3.5_base,E3,safety,4
r02,Qwen3.5_base,E3,completeness,3
r02,Qwen3.5_base,E3,readability,3
r02,Qwen3.5_base,E3,empathy,3
r02,Qwen3.5_base,E4,clinical,4
r02,Qwen3.5_base,E4,safety,3
r02,Qwen3.5_base,E4,completeness,3
r02,Qwen3.5_base,E4,readability,4
r02,Qwen3.5_base,E4,empathy,3
r02,Qwen3.5_base,E5,clinical,3
r02,Qwen3.5_base,E5,safety,3
r02,Qwen3.5_base,E5,completeness,4
r02,Qwen3.5_base,E5,readability,3
r02,Qwen3.5_base,E5,empathy,3
r03,FractureAgent,E0,clinical,4
r03,FractureAgent,E0,safety,5
r03,FractureAgent,E0,completeness,4
r03,FractureAgent,E0,readability,4
r03,FractureAgent,E0,empathy,4
r03,FractureAgent,E1,clinical,4
r03,FractureAgent,E1,safety,5
r03,FractureAgent,E1,completeness,5
r03,FractureAgent,E1,readability,4
r03,FractureAgent,E1,empathy,5
r03,FractureAgent,E2,clinical,4
r03,FractureAgent,E2,safety,5
r03,FractureAgent,E2,completeness,4
r03,FractureAgent,E2,readability,5
r03,FractureAgent,E2,empathy,4
r03,FractureAgent,E3,clinical,5
r03,FractureAgent,E3,safety,4
r03,FractureAgent,E3,completeness,4
r03,FractureAgent,E3,readability,4
r03,FractureAgent,E3,empathy,5
r03,FractureAgent,E4,clinical,5
r03,FractureAgent,E4,safety,4
r03,FractureAgent,E4,completeness,3
r03,FractureAgent,E4,readability,5
r03,FractureAgent,E4,empathy,4
r03,FractureAgent,E5,clinical,5
r03,FractureAgent,E5,safety,4
r03,FractureAgent,E5,completeness,4
r03,FractureAgent,E5,readability,4
r03,FractureAgent,E5,empathy,5
r03,LLaMA-3.1-8B-FT,E0,clinical,4
r03,LLaMA-3.1-8B-FT,E0,safety,5
r03,LLaMA-3.1-8B-FT,E0,completeness,4
r03,LLaMA-3.1-8B-FT,E0,readability,4
r03,LLaMA-3.1-8B-FT,E0,empathy,4
r03,LLaMA-3.1-8B-FT,E1,clinical,3
r03,LLaMA-3.1-8B-FT,E1,safety,4
r03,LLaMA-3.1-8B-FT,E1,completeness,3
r03,LLaMA-3.1-8B-FT,E1,readability,4
r03,LLaMA-3.1-8B-FT,E1,empathy,4
r03,LLaMA-3.1-8B-FT,E2,clinical,4
r03,LLaMA-3.1-8B-FT,E2,safety,5
r03,LLaMA-3.1-8B-FT,E2,completeness,4
r03,LLaMA-3.1-8B-FT,E2,readability,4
r03,LLaMA-3.1-8B-FT,E2,empathy,4
r03,LLaMA-3.1-8B-FT,E3,clinical,4
r03,LLaMA-3.1-8B-FT,E3,safety,4
r03,LLaMA-3.1-8B-FT,E3,completeness,3
r03,LLaMA-3.1-8B-FT,E3,readability,4
r03,LLaMA-3.1-8B-FT,E3,empathy,3
r03,LLaMA-3.1-8B-FT,E4,clinical,4
r03,LLaMA-3.1-8B-FT,E4,safety,3
r03,LLaMA-3.1-8B-FT,E4,completeness,3
r03,LLaMA-3.1-8B-FT,E4,readability,4
r03,LLaMA-3.1-8B-FT,E4,empathy,4
r03,LLaMA-3.1-8B-FT,E5,clinical,4
r03,LLaMA-3.1-8B-FT,E5,safety,3
r03,LLaMA-3.1-8B-FT,E5,completeness,3
r03,LLaMA-3.1-8B-FT,E5,readability,4
r03,LLaMA-3.1-8B-FT,E5,empathy,4
r03,GPT-4o_5shot,E0,clinical,4
r03,GPT-4o_5shot,E0,safety,5
r03,GPT-4o_5shot,E0,completeness,4
r03,GPT-4o_5shot,E0,readability,4
r03,GPT-4o_5shot,E0,empathy,3
r03,GPT-4o_5shot,E1,clinical,4
r03,GPT-4o_5shot,E1,safety,4
r03,GPT-4o_5shot,E1,completeness,4
r03,GPT-4o_5shot,E1,readability,4
r03,GPT-4o_5shot,E1,empathy,5
r03,GPT-4o_5shot,E2,clinical,4
r03,GPT-4o_5shot,E2,safety,4
r03,GPT-4o_5shot,E2,completeness,4
r03,GPT-4o_5shot,E2,readability,3
r03,GPT-4o_5shot,E2,empathy,4
r03,GPT-4o_5shot,E3,clinical,5
r03,GPT-4o_5shot,E3,safety,4
r03,GPT-4o_5shot,E3,completeness,4
r03,GPT-4o_5shot,E3,readability,4
r03,GPT-4o_5shot,E3,empathy,4
r03,GPT-4o_5shot,E4,clinical,3
r03,GPT-4o_5shot,E4,safety,4
r03,GPT-4o_5shot,E4,completeness,4
r03,GPT-4o_5shot,E4,readability,4
r03,GPT-4o_5shot,E4,empathy,4
r03,GPT-4o_5shot,E5,clinical,4
r03,GPT-4o_5shot,E5,safety,3
r03,GPT-4o_5shot,E5,completeness,4
r03,GPT-4o_5shot,E5,readability,4
r03,GPT-4o_5shot,E5,empathy,3
r03,GPT-4o_0shot,E0,clinical,4
r03,GPT-4o_0shot,E0,safety,4
r03,GPT-4o_0shot,E0,completeness,4
r03,GPT-4o_0shot,E0,readability,4
r03,GPT-4o_0shot,E0,empathy,4
r03,GPT-4o_0shot,E1,clinical,5
r03,GPT-4o_0shot,E1,safety,3
r03,GPT-4o_0shot,E1,completeness,4
r03,GPT-4o_0shot,E1,readability,4
r03,GPT-4o_0shot,E1,empathy,4
r03,GPT-4o_0shot,E2,clinical,4
r03,GPT-4o_0shot,E2,safety,4
r03,GPT-4o_0shot,E2,completeness,3
r03,GPT-4o_0shot,E2,readability,4
r03,GPT-4o_0shot,E2,empathy,4
r03,GPT-4o_0shot,E3,clinical,4
r03,GPT-4o_0shot,E3,safety,4
r03,GPT-4o_0shot,E3,completeness,3
r03,GPT-4o_0shot,E3,readability,4
r03,GPT-4o_0shot,E3,empathy,4
r03,GPT-4o_0shot,E4,clinical,3
r03,GPT-4o_0shot,E4,safety,4
r03,GPT-4o_0shot,E4,completeness,4
r03,GPT-4o_0shot,E4,readability,3
r03,GPT-4o_0shot,E4,empathy,4
r03,GPT-4o_0shot,E5,clinical,4
r03,GPT-4o_0shot,E5,safety,4
r03,GPT-4o_0shot,E5,completeness,3
r03,GPT-4o_0shot,E5,readability,3
r03,GPT-4o_0shot,E5,empathy,3
r03,Qwen3.5_base,E0,clinical,3
r03,Qwen3.5_base,E0,safety,3
r03,Qwen3.5_base,E0,completeness,3
r03,Qwen3.5_base,E0,readability,3
r03,Qwen3.5_base,E0,empathy,3
r03,Qwen3.5_base,E1,clinical,4
r03,Qwen3.5_base,E1,safety,4
r03,Qwen3.5_base,E1,completeness,3
r03,Qwen3.5_base,E1,readability,3
r03,Qwen3.5_base,E1,empathy,4
r03,Qwen3.5_base,E2,clinical,3
r03,Qwen3.5_base,E2,safety,4
r03,Qwen3.5_base,E2,completeness,3
r03,Qwen3.5_base,E2,readability,3
r03,Qwen3.5_base,E2,empathy,3
r03,Qwen3.5_base,E3,clinical,4
r03,Qwen3.5_base,E3,safety,3
r03,Qwen3.5_base,E3,completeness,3
r03,Qwen3.5_base,E3,readability,3
r03,Qwen3.5_base,E3,empathy,3
r03,Qwen3.5_base,E4,clinical,3
r03,Qwen3.5_base,E4,safety,3
r03,Qwen3.5_base,E4,completeness,3
r03,Qwen3.5_base,E4,readability,3
r03,Qwen3.5_base,E4,empathy,3
r03,Qwen3.5_base,E5,clinical,3
r03,Qwen3.5_base,E5,safety,4
r03,Qwen3.5_base,E5,completeness,3
r03,Qwen3.5_base,E5,readability,3
r03,Qwen3.5_base,E5,empathy,3
r04,FractureAgent,E0,clinical,4
r04,FractureAgent,E0,safety,4
r04,FractureAgent,E0,completeness,5
r04,FractureAgent,E0,readability,4
r04,FractureAgent,E0,empathy,4
r04,FractureAgent,E1,clinical,5
r04,FractureAgent,E1,safety,4
r04,FractureAgent,E1,completeness,4
r04,FractureAgent,E1,readability,4
r04,FractureAgent,E1,empathy,4
r04,FractureAgent,E2,clinical,5
r04,FractureAgent,E2,safety,4
r04,FractureAgent,E2,completeness,3
r04,FractureAgent,E2,readability,4
r04,FractureAgent,E2,empathy,5
r04,FractureAgent,E3,clinical,4
r04,FractureAgent,E3,safety,4
r04,FractureAgent,E3,completeness,4
r04,FractureAgent,E3,readability,5
r04,FractureAgent,E3,empathy,5
r04,FractureAgent,E4,clinical,4
